,fips,state_name,latitude,longtitude,hq_address,hospital_name,hospital_type,hq_city,hq_state
51,1061,Alabama,31.048774,-85.890977,1200 W Maple Ave,Wiregrass Medical Center,Short Term Acute Care Hospital,Geneva,AL
52,1063,Alabama,32.8421,-87.89,509 Wilson Ave,Greene County Hospital,Short Term Acute Care Hospital,Eutaw,AL
53,1065,Alabama,32.695544400000074,-87.58690769999998,508 Greene St,Hale County Hospital,Short Term Acute Care Hospital,Greensboro,AL
54,1069,Alabama,31.23790680000008,-85.456757,4370 W Main St,Flowers Hospital,Short Term Acute Care Hospital,Dothan,AL
55,1069,Alabama,31.219711500000077,-85.39295439999995,1108 Ross Clark Cir,Southeast Health (FKA Southeast Alabama Medical Center),Short Term Acute Care Hospital,Dothan,AL
56,1071,Alabama,34.6617,-86.0466,380 Woods Cove Rd,Highlands Medical Center,Short Term Acute Care Hospital,Scottsboro,AL
57,1073,Alabama,33.50718120000005,-86.78891109999995,810 Saint Vincents Dr,St Vincents Birmingham,Short Term Acute Care Hospital,Birmingham,AL
58,1073,Alabama,33.49840210000008,-86.84701659999996,701 Princeton Ave Sw,Princeton Baptist Medical Center,Short Term Acute Care Hospital,Birmingham,AL
59,1073,Alabama,33.43277550000005,-86.71884469999998,3690 Grandview Pkwy,Grandview Medical Center (FKA Trinity Medical Center),Short Term Acute Care Hospital,Birmingham,AL
60,1073,Alabama,33.596457,-86.66765019999997,50 Medical Park Dr E,St Vincents East (FKA Medical Center East),Short Term Acute Care Hospital,Birmingham,AL
61,1073,Alabama,33.503575400000045,-86.80245749999995,1720 University Blvd,UAB Callahan Eye Hospital,Short Term Acute Care Hospital,Birmingham,AL
62,1033,Alabama,34.7464,-87.6989,1300 S Montgomery Ave,Helen Keller Hospital,Short Term Acute Care Hospital,Sheffield,AL
63,1073,Alabama,33.50661760000003,-86.80319309999999,1802 6th Ave S,UAB Hospital,Short Term Acute Care Hospital,Birmingham,AL
64,1073,Alabama,33.37227750000005,-86.99061769999997,995 9th Ave Sw,Medical West Hospital,Short Term Acute Care Hospital,Bessemer,AL
65,1073,Alabama,33.50412060000008,-86.80155489999999,700 19th St S,Birmingham VA Medical Center,VA Hospital,Birmingham,AL
66,1073,Alabama,33.47023830000006,-86.8069698,2010 Brookwood Medical Ctr Dr,Brookwood Baptist Medical Center (FKA Brookwood Medical Center),Short Term Acute Care Hospital,Birmingham,AL
67,1077,Alabama,34.80439390000004,-87.65094529999999,1701 Veterans Dr,North Alabama Medical Center (FKA Eliza Coffee Memorial Hospital),Short Term Acute Care Hospital,Florence,AL
68,1079,Alabama,34.4828,-87.286,202 Hospital St,Lawrence Medical Center,Short Term Acute Care Hospital,Moulton,AL
69,1081,Alabama,32.640162900000064,-85.40375059999997,2000 Pepperell Pkwy,East Alabama Medical Center - Opelika,Short Term Acute Care Hospital,Opelika,AL
70,1083,Alabama,34.80426070000004,-86.979177,700 W Market St,Athens-Limestone Hospital,Short Term Acute Care Hospital,Athens,AL
71,1089,Alabama,34.721046,-86.581799,101 Sivley Rd SW,Huntsville Hospital,Short Term Acute Care Hospital,Huntsville,AL
72,1089,Alabama,34.69392790000006,-86.57193239999998,1 Hospital Dr,Crestwood Medical Center,Short Term Acute Care Hospital,Huntsville,AL
73,1091,Alabama,32.384584,-87.91165,105 Us Highway 80 E,Whitfield Regional Hospital (FKA Bryan W Whitfield Memorial Hospital),Short Term Acute Care Hospital,Demopolis,AL
74,1093,Alabama,33.930256100000065,-87.82442579999997,1530 Us Highway 43,Northwest Medical Center,Short Term Acute Care Hospital,Winfield,AL
75,1093,Alabama,34.12679950000006,-87.99146519999994,1256 Military St S,North Mississippi Medical Center - Hamilton,Short Term Acute Care Hospital,Hamilton,AL
76,1095,Alabama,34.22159,-86.160495,2505 Us Highway 431,Marshall Medical Center South,Short Term Acute Care Hospital,Boaz,AL
77,1097,Alabama,30.707287500000064,-88.09856279999997,2451 USA Medical Center Dr,USA Health University Hospital (FKA University of South Alabama Medical Center),Short Term Acute Care Hospital,Mobile,AL
78,1097,Alabama,30.67828170000007,-88.19855229999996,6801 Airport Blvd,Providence Hospital,Short Term Acute Care Hospital,Mobile,AL
79,1097,Alabama,30.698862500000075,-88.07942519999995,5 Mobile Infirmary Cir,Mobile Infirmary,Short Term Acute Care Hospital,Mobile,AL
80,1097,Alabama,30.68523360000006,-88.13171109999996,3719 Dauphin St,Springhill Medical Center,Short Term Acute Care Hospital,Mobile,AL
81,1097,Alabama,30.69745120000005,-88.07795869999995,1700 Center St,USA Childrens & Womens Hospital,Childrens Hospital,Mobile,AL
82,1099,Alabama,31.498257,-87.32068159999994,2016 S Alabama Ave,Monroe County Hospital,Short Term Acute Care Hospital,Monroeville,AL
83,1101,Alabama,32.37622840000006,-86.17482959999995,400 Taylor Rd,Baptist Medical Center East,Short Term Acute Care Hospital,Montgomery,AL
84,1101,Alabama,32.376919300000054,-86.24390859999994,215 Perry Hill Rd,Central Alabama Veterans Health Care System - West Campus,VA Hospital,Montgomery,AL
85,1101,Alabama,32.3269,-86.271,2105 E South Blvd,Baptist Medical Center South,Short Term Acute Care Hospital,Montgomery,AL
86,1101,Alabama,32.36708310000006,-86.28534919999998,1725 Pine St,Jackson Hospital,Short Term Acute Care Hospital,Montgomery,AL
87,1103,Alabama,34.59041350000007,-86.972417,1201 7th St SE,Decatur Morgan Hospital - Decatur Campus (FKA Decatur General Hospital),Short Term Acute Care Hospital,Decatur,AL
88,1109,Alabama,31.78114970000007,-85.94490869999998,1330 Highway 231 S,Troy Regional Medical Center,Short Term Acute Care Hospital,Troy,AL
89,1113,Alabama,32.50808450000005,-85.00867139999997,4401 Riverchase Dr,Jack Hughston Memorial Hospital,Short Term Acute Care Hospital,Phenix City,AL
90,1115,Alabama,33.60437050000007,-86.30172529999999,7063 Veterans Pkwy,St Vincents St Clair,Short Term Acute Care Hospital,Pell City,AL
91,1117,Alabama,33.25241390000008,-86.8130445,1000 1st St N,Shelby Baptist Medical Center,Short Term Acute Care Hospital,Alabaster,AL
92,1119,Alabama,32.4917,-88.296,751 Derby Dr,Hill Hospital of Sumter County,Short Term Acute Care Hospital,York,AL
93,1121,Alabama,33.16444660000008,-86.25520419999998,315 W Hickory St,Coosa Valley Medical Center,Short Term Acute Care Hospital,Sylacauga,AL
94,1121,Alabama,33.4397,-86.0921,604 Stone Ave,Citizens Baptist Medical Center,Short Term Acute Care Hospital,Talladega,AL
95,1123,Alabama,32.82,-85.7415,201 Mariarden Rd,Lake Martin Community Hospital,Short Term Acute Care Hospital,Dadeville,AL
96,1123,Alabama,32.9316,-85.9687,3316 Highway 280,Russell Medical Center,Short Term Acute Care Hospital,Alexander City,AL
97,1125,Alabama,33.20479530000006,-87.52669559999998,809 University Blvd E,DCH Regional Medical Center,Short Term Acute Care Hospital,Tuscaloosa,AL
98,1125,Alabama,33.191365200000064,-87.48656129999995,3701 Loop Road East,Tuscaloosa VA Medical Center,VA Hospital,Tuscaloosa,AL
99,1127,Alabama,33.829811,-87.20808949999997,3400 Highway 78 E,Walker Baptist Medical Center,Short Term Acute Care Hospital,Jasper,AL
100,1129,Alabama,31.459627100000034,-88.235022,14600 Saint Stephens Ave,Washington County Hospital,Critical Access Hospital,Chatom,AL
101,1131,Alabama,31.998095300000045,-87.30016289999998,317 Mcwilliams Ave,J Paul Jones Hospital,Short Term Acute Care Hospital,Camden,AL
102,1133,Alabama,34.241867,-87.591312,42024 Highway 195,Lakeland Community Hospital,Short Term Acute Care Hospital,Haleyville,AL
103,2020,Alaska,61.18790490000004,-149.81691369999996,3200 Providence Dr,Providence Alaska Medical Center,Short Term Acute Care Hospital,Anchorage,AK
104,2020,Alaska,61.21069310000007,-149.82873329999998,2801 Debarr Rd,Alaska Regional Hospital,Short Term Acute Care Hospital,Anchorage,AK
105,2020,Alaska,61.18296470000007,-149.79996729999996,4315 Diplomacy Dr,Alaska Native Medical Center,Short Term Acute Care Hospital,Anchorage,AK
106,2050,Alaska,60.7494,-161.7271,829 Chief Eddie Hoffman Hwy,Yukon-Kuskokwim Delta Regional Hospital,Short Term Acute Care Hospital,Bethel,AK
107,23011,Maine,44.31062410000004,-69.77948969999994,1 Va Ctr,Maine VA Medical Center (AKA Togus VA Medical Center),VA Hospital,Augusta,ME
108,2090,Alaska,64.83115690000005,-147.73994709999997,1650 Cowles St,Fairbanks Memorial Hospital,Short Term Acute Care Hospital,Fairbanks,AK
109,2110,Alaska,58.32901640000006,-134.46491669999995,3260 Hospital Dr,Bartlett Regional Hospital,Short Term Acute Care Hospital,Juneau,AK
110,2122,Alaska,60.49336990000006,-151.07825209999996,250 Hospital Pl,Central Peninsula Hospital,Short Term Acute Care Hospital,Soldotna,AK
111,2122,Alaska,60.26951,-149.388742,417 1st Ave,Providence Seward Medical & Care Center,Critical Access Hospital,Seward,AK
112,2122,Alaska,59.65215050000006,-151.55003389999996,4300 Bartlett St,South Peninsula Hospital,Critical Access Hospital,Homer,AK
113,2130,Alaska,55.35365710000008,-131.6866346,3100 Tongass Ave,PeaceHealth Ketchikan Medical Center,Critical Access Hospital,Ketchikan,AK
114,24510,Maryland,39.289565,-76.62448389999997,10 N Greene St,VA Maryland Health Care System - Baltimore VA Medical Center,VA Hospital,Baltimore,MD
115,2150,Alaska,57.80088370000004,-152.37564719999995,1915 E Rezanof Dr,Providence Kodiak Island Medical Center,Critical Access Hospital,Kodiak,AK
116,2170,Alaska,61.56316030000005,-149.25763829999997,2500 S Woodworth Loop,Mat-Su Regional Medical Center,Short Term Acute Care Hospital,Palmer,AK
117,2180,Alaska,64.497393,-165.40595,1000 Greg Kruschek Ave,Norton Sound Regional Hospital,Critical Access Hospital,Nome,AK
118,2220,Alaska,57.05199030000006,-135.35519879999998,222 Tongass Dr,Mt Edgecumbe Hospital,Critical Access Hospital,Sitka,AK
119,2275,Alaska,56.3147,-131.7229,310 Bennett St,Wrangell Medical Center,Critical Access Hospital,Wrangell,AK
120,25015,Massachusetts,42.34717390000003,-72.68592709999996,421 N Main St,VA Central Western Massachusetts Healthcare System - Northampton VA Medical Center (AKA Edward P Boland Department of Veterans Affairs Medical Center),VA Hospital,Leeds,MA
121,25017,Massachusetts,42.50719460000005,-71.27558859999994,200 Springs Rd,Edith Nourse Rogers Memorial Veterans Hospital,VA Hospital,Bedford,MA
122,4001,Arizona,35.759317,-109.04839919999996,Intersection of Route 12 and 7,Fort Defiance Indian Hospital,Short Term Acute Care Hospital,Fort Defiance,AZ
123,4001,Arizona,36.1542,-109.5526,Highway 191,Chinle Comprehensive Health Care Facility,Short Term Acute Care Hospital,Chinle,AZ
124,4001,Arizona,35.6053,-109.4589,US-191 & AZ-264,Sage Memorial Hospital,Critical Access Hospital,Ganado,AZ
125,4001,Arizona,34.13164090000004,-109.28550009999998,118 S Mountain Ave,White Mountain Regional Medical Center,Critical Access Hospital,Springerville,AZ
126,4003,Arizona,31.417589700000065,-109.88279329999996,101 Cole Ave,Copper Queen Community Hospital,Critical Access Hospital,Bisbee,AZ
127,4003,Arizona,31.96494380000007,-110.30849529999996,450 S Ocotillo Ave,Benson Hospital,Critical Access Hospital,Benson,AZ
128,4003,Arizona,32.26491250000004,-109.838086,901 W Rex Allen Dr,Northern Cochise Community Hospital,Critical Access Hospital,Willcox,AZ
129,4003,Arizona,31.554586,-110.230876,5700 E Highway 90,Canyon Vista Medical Center (FKA Sierra Vista Regional Health Center),Short Term Acute Care Hospital,Sierra Vista,AZ
130,4005,Arizona,35.209004900000025,-111.64390729999997,1200 N Beaver St,Flagstaff Medical Center,Short Term Acute Care Hospital,Flagstaff,AZ
131,4005,Arizona,36.91754,-111.463911,501 N Navajo Dr,Page Hospital,Critical Access Hospital,Page,AZ
132,4005,Arizona,36.1362,-111.2397,167 Main Street,Tuba City Regional Health Care,Short Term Acute Care Hospital,Tuba City,AZ
133,4009,Arizona,33.2953,-110.4178,103 Medicine Way Rd,San Carlos Apache Healthcare (FKA PHS Indian Hospital - San Carlos),Short Term Acute Care Hospital,Peridot,AZ
134,4007,Arizona,33.40606280000003,-110.8268096,5880 S Hospital Dr,Cobre Valley Regional Medical Center,Critical Access Hospital,Globe,AZ
135,4007,Arizona,34.2317,-111.3213,807 S Ponderosa St,Banner Payson Medical Center (AKA Payson Regional Medical Center),Critical Access Hospital,Payson,AZ
136,4009,Arizona,32.822625,-109.734994,1600 S 20th Ave,Mt Graham Regional Medical Center,Short Term Acute Care Hospital,Safford,AZ
137,4012,Arizona,34.13563650000003,-114.28479369999997,1200 W Mohave Rd,La Paz Regional Hospital,Critical Access Hospital,Parker,AZ
138,4013,Arizona,33.38995440000008,-111.8770411,1400 S Dobson Rd,Banner Desert Medical Center,Short Term Acute Care Hospital,Mesa,AZ
139,4013,Arizona,33.60367670000005,-112.28422309999996,10401 W Thunderbird Blvd,Banner Boswell Medical Center,Short Term Acute Care Hospital,Sun City,AZ
140,4013,Arizona,33.481882,-112.0793096,350 W Thomas Rd,St Josephs Hospital and Medical Center,Short Term Acute Care Hospital,Phoenix,AZ
141,4013,Arizona,33.525601,-112.10206549999998,2000 W Bethany Home Rd,Abrazo Central Campus (FKA Phoenix Baptist Hospital),Short Term Acute Care Hospital,Phoenix,AZ
142,4013,Arizona,33.29738670000006,-111.87460539999996,1955 W Frye Rd,Chandler Regional Medical Center,Short Term Acute Care Hospital,Chandler,AZ
143,4013,Arizona,33.48869670000005,-111.9229987,7400 E Osborn Rd,HonorHealth Scottsdale Osborn Medical Center,Short Term Acute Care Hospital,Scottsdale,AZ
144,4013,Arizona,33.457309800000075,-112.02611909999996,2601 E Roosevelt St,Valleywise Health Medical Center (FKA Maricopa Medical Center),Short Term Acute Care Hospital,Phoenix,AZ
145,4013,Arizona,33.56892940000006,-112.0710274,250 E Dunlap Ave,HonorHealth John C Lincoln Medical Center (FKA John C Lincoln North Mountain Hospital),Short Term Acute Care Hospital,Phoenix,AZ
146,4013,Arizona,33.50278190000006,-112.17077909999996,5102 W Campbell Ave,Valleywise Behavioral Health Center - Maryvale (FKA MIHS Maryvale Hospital),Short Term Acute Care Hospital,Phoenix,AZ
147,4013,Arizona,33.464967400000035,-112.05788359999995,1111 E Mcdowell Rd,Banner - University Medical Center Phoenix (FKA Banner Good Samaritan Medical Center),Short Term Acute Care Hospital,Phoenix,AZ
148,4013,Arizona,33.49695,-112.049421,4212 N 16th St,Phoenix Indian Medical Center,Short Term Acute Care Hospital,Phoenix,AZ
149,4013,Arizona,33.63929020000006,-111.99752149999996,3929 E Bell Rd,Abrazo Scottsdale Campus (FKA Paradise Valley Hospital),Short Term Acute Care Hospital,Phoenix,AZ
150,4013,Arizona,33.580069,-111.8851431,9003 E Shea Blvd,HonorHealth Scottsdale Shea Medical Center,Short Term Acute Care Hospital,Scottsdale,AZ
151,4013,Arizona,33.41130950000007,-111.68750789999996,6644 E Baywood Ave,Banner Baywood Medical Center,Short Term Acute Care Hospital,Mesa,AZ
152,4013,Arizona,33.609194100000025,-112.17958439999995,5555 W Thunderbird Rd,Banner Thunderbird Medical Center,Short Term Acute Care Hospital,Glendale,AZ
153,4013,Arizona,33.666004600000065,-112.11600869999997,19829 N 27th Ave,HonorHealth Deer Valley Medical Center,Short Term Acute Care Hospital,Phoenix,AZ
154,4013,Arizona,33.660310700000025,-112.37280089999996,14502 W Meeker Blvd,Banner Del E Webb Medical Center,Short Term Acute Care Hospital,Sun City West,AZ
155,4013,Arizona,33.65508950000003,-112.20154639999998,18701 N 67th Ave,Abrazo Arrowhead Campus (FKA Arrowhead Hospital),Short Term Acute Care Hospital,Glendale,AZ
156,4013,Arizona,33.65889850000008,-111.95641919999996,5777 E Mayo Blvd,Mayo Clinic Hospital - Arizona,Short Term Acute Care Hospital,Phoenix,AZ
157,4013,Arizona,33.41123070000003,-111.6868295,6750 E Baywood Ave,Banner Heart Hospital,Short Term Acute Care Hospital,Mesa,AZ
158,4013,Arizona,33.38037950000006,-111.7347299,4620 E Baseline Rd,Arizona Spine & Joint Hospital,Short Term Acute Care Hospital,Mesa,AZ
159,4013,Arizona,33.53219690000003,-112.098972,6501 N 19th Ave,CORE Institute Specialty Hospital (FKA the Surgical Hospital of Phoenix),Short Term Acute Care Hospital,Phoenix,AZ
160,4013,Arizona,33.46255690000004,-112.35214889999996,13677 W Mcdowell Rd,Abrazo West Campus (FKA West Valley Hospital),Short Term Acute Care Hospital,Goodyear,AZ
161,4013,Arizona,33.97828240000007,-112.73914109999998,520 Rose Ln,Wickenburg Community Hospital,Critical Access Hospital,Wickenburg,AZ
162,4013,Arizona,33.333753700000045,-111.891233,2905 W Warner Rd,Dignity Health Arizona Specialty Hospital (FKA Arizona Orthopedic Surgical Hospital),Short Term Acute Care Hospital,Chandler,AZ
163,4013,Arizona,33.47848220000003,-112.25758889999996,9201 W Thomas Rd,Banner Estrella Medical Center,Short Term Acute Care Hospital,Phoenix,AZ
164,4013,Arizona,33.28716510000004,-111.75224349999996,3555 S Val Vista Dr,Mercy Gilbert Medical Center,Short Term Acute Care Hospital,Gilbert,AZ
165,4013,Arizona,33.39146260000007,-111.61208739999996,1301 S Crismon Rd,Mountain Vista Medical Center,Short Term Acute Care Hospital,Mesa,AZ
166,4013,Arizona,33.38404680000008,-111.7225666,1900 N Higley Rd,Banner Gateway Medical Center,Short Term Acute Care Hospital,Gilbert,AZ
167,4013,Arizona,33.67098130000005,-111.92229519999997,7400 E Thompson Peak Pkwy,HonorHealth Scottsdale Thompson Peak Medical Center,Short Term Acute Care Hospital,Scottsdale,AZ
168,4013,Arizona,33.479290400000025,-112.03999869999996,1919 E Thomas Rd,Phoenix Childrens Hospital,Childrens Hospital,Phoenix,AZ
169,4015,Arizona,35.00274850000005,-114.59627659999995,5330 S Highway 95,Valley View Medical Center,Short Term Acute Care Hospital,Fort Mohave,AZ
170,4015,Arizona,35.11080560000005,-114.55498289999996,2735 Silver Creek Rd,Western Arizona Regional Medical Center,Short Term Acute Care Hospital,Bullhead City,AZ
171,4015,Arizona,34.48038210000004,-114.33886679999996,101 Civic Center Ln,Havasu Regional Medical Center,Short Term Acute Care Hospital,Lake Havasu City,AZ
172,4015,Arizona,35.22015470000008,-114.03709329999998,3269 N Stockton Hill Rd,Kingman Regional Medical Center,Short Term Acute Care Hospital,Kingman,AZ
173,4017,Arizona,34.20281370000004,-110.01798119999997,2200 E Show Low Lake Rd,Summit Healthcare Regional Medical Center,Short Term Acute Care Hospital,Show Low,AZ
174,4017,Arizona,35.9347,-110.453,Highway 264 Mile Post 388,Hopi Health Care Center,Critical Access Hospital,Polacca,AZ
175,4017,Arizona,33.8758,-109.9577,200 West Hospital Drive,Whiteriver Indian Hospital,Short Term Acute Care Hospital,Whiteriver,AZ
176,4017,Arizona,35.03582970000008,-110.69259769999996,1501 N Williamson Ave,Little Colorado Medical Center,Critical Access Hospital,Winslow,AZ
177,4019,Arizona,32.42925850000006,-110.94859229999996,1551 E Tangerine Rd,Oro Valley Hospital,Short Term Acute Care Hospital,Oro Valley,AZ
178,4019,Arizona,31.9183,-111.8792,Arizona State Highway 86,Sells Indian Hospital,Short Term Acute Care Hospital,Sells,AZ
179,4019,Arizona,32.320276800000045,-111.01007519999996,6200 N La Cholla Blvd,Northwest Medical Center,Short Term Acute Care Hospital,Tucson,AZ
180,4019,Arizona,32.1778,-110.9295,2800 E Ajo Way,Banner - University Medical Center South (FKA University of Arizona Medical Center - South Campus),Short Term Acute Care Hospital,Tucson,AZ
181,4019,Arizona,32.2468,-110.9447,1625 N Campbell Ave,Banner - University Medical Center Tucson (FKA University of Arizona Medical Center),Short Term Acute Care Hospital,Tucson,AZ
182,4019,Arizona,32.25271330000004,-110.87812479999997,5301 E Grant Rd,Tucson Medical Center (AKA TMC HealthCare),Short Term Acute Care Hospital,Tucson,AZ
183,4019,Arizona,32.228575,-111.001298,1601 W Saint Marys Rd,St Marys Hospital,Short Term Acute Care Hospital,Tucson,AZ
184,4019,Arizona,32.22648910000004,-110.8550125,350 N Wilmot Rd,St Joseph Hospital,Short Term Acute Care Hospital,Tucson,AZ
185,4021,Arizona,32.880740100000025,-111.70974549999994,1800 E Florence Blvd,Banner Casa Grande Medical Center,Short Term Acute Care Hospital,Casa Grande,AZ
186,4023,Arizona,31.340479,-110.959983,1171 W Target Range Rd,Holy Cross Hospital,Critical Access Hospital,Nogales,AZ
