fips,province_state,country_region,confirmed,deaths,recovered,active,date,positive,negative,hospitalizedcurrently,hospitalized,hospitalizeddischarged
41799,Tibet,China,74286,10787,213221,68664,20210119,289939,346174,1066.0,71655,21417
46196,Washington,US,185163,22472,131323,96581,20210119,289939,295971,1066.0,27996,59818
3953,Xinjiang,China,30427,5809,140908,53974,20210119,289939,187205,1066.0,50738,17455
4922,Yun,China,184554,10591,61071,112405,20210119,289939,127341,1066.0,74935,65065
39380,Zhejiang,China,197935,2409,97017,1926,20210119,289939,110823,1066.0,855,78947
1320,,Japan,277534,12397,86095,184854,20210119,289939,324484,1066.0,4828,77034
39796,,Thailand,194851,24844,80427,119231,20210119,289939,68597,1066.0,76965,25152
15335,,South Korea,102161,35032,244103,103555,20210119,289939,156701,1066.0,52855,5558
9272,Anhui,China,310781,3796,20256,47786,20210119,289939,308403,1066.0,38353,43448
37723,Beijing,China,243001,17984,262844,71097,20210119,289939,235212,1066.0,87369,76704
31462,Chongqing,China,322401,7252,188847,174395,20210119,289939,284969,1066.0,22607,1945
34305,Fujian,China,167802,10731,122430,94447,20210119,289939,87064,1066.0,42918,60247
30045,Gansu,China,152311,7467,261839,24264,20210119,289939,150289,1066.0,57887,51066
38299,Guangdong,China,64853,8331,91181,163960,20210119,289939,312050,1066.0,35048,61993
25669,Guangxi,China,370704,150,141944,2912,20210119,289939,127472,1066.0,49527,61874
13119,Guizhou,China,213965,8745,56964,55913,20210119,289939,278245,1066.0,35172,11283
14461,Hai,China,373294,11053,248679,195084,20210119,289939,241085,1066.0,72437,76769
40903,Hebei,China,88549,12419,235762,207080,20210119,289939,186232,1066.0,59744,61573
758,Heilongjiang,China,182866,26657,62653,91160,20210119,289939,128358,1066.0,10653,18721
42313,He,China,56659,1414,284622,72356,20210119,289939,175713,1066.0,46497,22693
5685,Hong Kong,Hong Kong,129284,22703,211651,99443,20210119,289939,243860,1066.0,82013,2046
21516,Hubei,China,152845,26104,174502,143253,20210119,289939,73630,1066.0,26812,22456
24399,Hu,China,168809,22897,67418,90036,20210119,289939,96115,1066.0,18230,33255
11975,Inner Mongolia,China,108373,16806,200778,143439,20210119,289939,259217,1066.0,64887,71990
24653,Jiangsu,China,37425,27436,216146,204341,20210119,289939,332283,1066.0,67069,62743
24914,Jiangxi,China,246138,17353,52974,98337,20210119,289939,277493,1066.0,65005,42172
33436,Jilin,China,59512,19604,240549,115051,20210119,289939,126821,1066.0,76492,18861
41030,Liaoning,China,165697,36861,61831,223190,20210119,289939,116252,1066.0,86728,35906
12658,Macau,Macau,251036,240,187468,127716,20210119,289939,273505,1066.0,17989,20559
32917,Ningxia,China,104975,36100,153668,169557,20210119,289939,273381,1066.0,35919,75747
2830,Qinghai,China,194713,4208,222915,73940,20210119,289939,172406,1066.0,62553,7870
477,Shaanxi,China,287869,33321,218041,36583,20210119,289939,71490,1066.0,62299,12462
14412,Shandong,China,301704,28074,238670,64997,20210119,289939,200538,1066.0,20861,16096
40002,Shanghai,China,251125,2218,168921,86017,20210119,289939,314310,1066.0,28750,39738
9005,Shanxi,China,304117,10328,209486,95292,20210119,289939,311043,1066.0,25083,12894
5100,Sichuan,China,11328,9520,15887,16278,20210119,289939,298592,1066.0,1526,6168
41714,Taiwan,Taiwan,42085,11623,91121,66933,20210119,289939,118078,1066.0,65476,40781
10877,Tianjin,China,57405,8994,200301,177154,20210119,289939,132940,1066.0,47740,12240
24854,Tibet,China,207143,34556,75297,202957,20210119,289939,202678,1066.0,34731,44793
30587,Washington,US,45831,19940,287220,40503,20210119,289939,227173,1066.0,47776,56080
22679,Xinjiang,China,369103,37092,23866,162884,20210119,289939,90161,1066.0,89951,41565
36000,Yun,China,17461,9067,79618,88539,20210119,289939,117435,1066.0,44327,52207
9452,Zhejiang,China,234406,21274,163343,146890,20210119,289939,180471,1066.0,50519,57637
35954,,Japan,294185,28371,215548,187957,20210119,289939,241298,1066.0,4003,70817
49482,,Thailand,1180,6442,52353,130771,20210119,289939,165649,1066.0,40503,76390
20089,,South Korea,172199,30662,261263,138366,20210119,289939,246802,1066.0,5525,77108
5725,,Singapore,138642,14051,220648,13781,20210119,289939,201707,1066.0,4228,37414
347,,Philippines,96471,22527,106480,192121,20210119,289939,93900,1066.0,80175,23659
997,,Malaysia,201832,7396,183045,145988,20210119,289939,336180,1066.0,14008,74519
33681,,Vietnam,144493,13881,59975,78502,20210119,289939,192005,1066.0,34363,1837
3340,,Australia,382760,32798,47915,82768,20210119,289939,261746,1066.0,450,75789
31768,,Mexico,119535,8161,113455,201017,20210119,289939,290949,1066.0,36317,44618
36796,,Brazil,43408,30767,89069,6145,20210119,289939,347288,1066.0,30792,2916
27389,,Colombia,372830,5581,190802,190050,20210119,289939,326491,1066.0,25364,3642
45768,Hubei,China,253464,12198,26352,69352,20210119,289939,328567,1066.0,62704,47303
21506,Guangdong,China,224145,24956,160486,84518,20210119,289939,82788,1066.0,72105,6141
46585,Zhejiang,China,91475,6237,91647,32110,20210119,289939,131801,1066.0,76093,13259
46909,Beijing,China,121089,25080,78194,170437,20210119,289939,276719,1066.0,74957,58739
19557,Chongqing,China,184947,5012,298545,176642,20210119,289939,187579,1066.0,29675,71412
27222,Hu,China,311991,158,153774,56805,20210119,289939,157024,1066.0,64783,62871
12322,Guangxi,China,130024,9883,78206,42416,20210119,289939,97183,1066.0,32764,3798
26301,Shanghai,China,11600,26929,294734,196947,20210119,289939,339411,1066.0,46921,61740
43240,Jiangxi,China,168899,14111,51957,163280,20210119,289939,195429,1066.0,37330,4435
28506,Sichuan,China,162317,25566,94290,109394,20210119,289939,261466,1066.0,13986,30984
4591,Shandong,China,340964,27146,153075,57868,20210119,289939,160519,1066.0,38933,56310
6287,Anhui,China,385054,1482,102544,113845,20210119,289939,310987,1066.0,40108,16016
39366,Fujian,China,129550,16725,81254,232953,20210119,289939,336434,1066.0,23109,50158
5160,He,China,160753,28921,249677,30916,20210119,289939,265572,1066.0,53194,8633
26570,Jiangsu,China,197944,27028,165601,117542,20210119,289939,277443,1066.0,26438,18692
44968,Hai,China,120379,6485,82410,127626,20210119,289939,188260,1066.0,59805,1971
12882,Tianjin,China,243119,26128,257387,41270,20210119,289939,204839,1066.0,28278,60916
33540,Yun,China,300397,17029,157746,121550,20210119,289939,229654,1066.0,81729,39154
26360,Shaanxi,China,132005,32856,89438,174280,20210119,289939,329361,1066.0,84066,47877
21205,Heilongjiang,China,129211,12915,250485,101468,20210119,289939,86288,1066.0,51227,4076
21482,Liaoning,China,78677,17352,161228,158562,20210119,289939,220036,1066.0,85009,59374
34500,Guizhou,China,256871,30257,117399,28689,20210119,289939,103454,1066.0,53311,22778
42112,Jilin,China,250305,30540,100612,213239,20210119,289939,112964,1066.0,85478,75871
14238,Taiwan,Taiwan,163525,22190,54351,47508,20210119,289939,79336,1066.0,28672,61510
45390,Ningxia,China,42169,28031,99303,137944,20210119,289939,330219,1066.0,1113,71055
6912,Hong Kong,Hong Kong,278719,25691,139343,186551,20210119,289939,114468,1066.0,50364,10649
8203,Macau,Macau,323344,15796,287934,117120,20210119,289939,344620,1066.0,47956,73463
5954,Hebei,China,312127,29228,134023,188676,20210119,289939,177131,1066.0,89274,75894
11678,Gansu,China,293300,33487,290517,172713,20210119,289939,249296,1066.0,77999,15730
16265,Xinjiang,China,355611,35846,97964,29725,20210119,289939,230475,1066.0,80270,43874
21690,Shanxi,China,62102,9263,234117,172363,20210119,289939,298384,1066.0,41490,23556
746,Inner Mongolia,China,272773,2608,271425,96802,20210119,289939,288034,1066.0,14097,47752
212,Qinghai,China,265079,4113,84680,206621,20210119,289939,301361,1066.0,49404,10747
10899,Washington,US,177420,15655,259657,144592,20210119,289939,114237,1066.0,45081,30804
43382,Illinois,US,369716,29367,240702,84431,20210119,289939,124510,1066.0,85143,36857
34453,,Japan,142125,2368,108989,113346,20210119,289939,91580,1066.0,49803,33285
29955,,Thailand,20762,20769,56842,206027,20210119,289939,62088,1066.0,83770,1919
31304,,South Korea,128663,25211,289223,71504,20210119,289939,200353,1066.0,28223,56668
36872,,Singapore,175043,24584,57051,204812,20210119,289939,291229,1066.0,28415,45927
4304,,Vietnam,298921,8378,159325,49974,20210119,289939,320999,1066.0,23759,23036
20092,Hubei,China,286927,1698,233308,168066,20210119,289939,212591,1066.0,53524,7257
17318,Guangdong,China,75384,25277,254472,43042,20210119,289939,172779,1066.0,2481,62634
29395,Zhejiang,China,133109,26060,73032,46779,20210119,289939,192486,1066.0,61057,27813
14792,Chongqing,China,336073,10201,238498,148075,20210119,289939,120195,1066.0,69283,39879
27462,Hu,China,343996,13011,233617,139489,20210119,289939,317174,1066.0,78974,6069
16330,Beijing,China,196348,31712,24924,152548,20210119,289939,181473,1066.0,18496,43895
24005,Anhui,China,16472,23188,143087,180282,20210119,289939,144420,1066.0,37577,66667
30689,Shanghai,China,347728,33254,285464,185510,20210119,289939,116713,1066.0,29383,42366
29538,He,China,215166,29515,140603,223455,20210119,289939,177617,1066.0,60418,3924
35950,Sichuan,China,110318,18064,100657,181472,20210119,289939,232425,1066.0,87850,60978
24014,Shandong,China,201631,8585,265694,138976,20210119,289939,110710,1066.0,34151,60207
21738,Guangxi,China,348642,14762,144717,90758,20210119,289939,76575,1066.0,68315,58003
48249,Hai,China,278207,9192,273414,173754,20210119,289939,119558,1066.0,85271,57488
42400,Jiangxi,China,163941,37653,102574,4252,20210119,289939,189670,1066.0,3416,31580
39191,Fujian,China,5044,6527,186085,119591,20210119,289939,314337,1066.0,14216,51051
46969,Jiangsu,China,236281,19825,46577,10515,20210119,289939,132074,1066.0,37279,64813
45200,Liaoning,China,155324,34412,225432,40298,20210119,289939,337169,1066.0,54079,10767
48527,Shaanxi,China,309756,16137,52047,180839,20210119,289939,89798,1066.0,75650,50258
15979,Yun,China,139736,21330,285643,125043,20210119,289939,347537,1066.0,44107,49748
24628,Tianjin,China,150268,31939,17398,8271,20210119,289939,128249,1066.0,1320,70031
17836,Heilongjiang,China,386669,18786,110014,88133,20210119,289939,239967,1066.0,85993,75930
12298,Hebei,China,281291,4487,95213,97591,20210119,289939,72772,1066.0,79070,51079
32049,Inner Mongolia,China,355680,10943,199713,12273,20210119,289939,340698,1066.0,76042,56156
35396,Shanxi,China,348339,15351,109782,163559,20210119,289939,244447,1066.0,30268,77751
34480,Hong Kong,Hong Kong,139697,20818,249354,40618,20210119,289939,312191,1066.0,40143,46621
46664,Guizhou,China,293590,13438,221304,13815,20210119,289939,137514,1066.0,67892,18943
13215,Jilin,China,42995,25798,296639,119038,20210119,289939,324869,1066.0,16812,32746
25974,Gansu,China,330364,15379,268866,20332,20210119,289939,241105,1066.0,40135,69169
7514,Ningxia,China,188550,2504,7149,46800,20210119,289939,140188,1066.0,72750,70103
44131,Taiwan,Taiwan,371862,4580,82588,167545,20210119,289939,157786,1066.0,18083,67546
1643,Xinjiang,China,46784,1276,134797,48160,20210119,289939,197526,1066.0,23098,58930
21416,Macau,Macau,198759,28435,134816,15782,20210119,289939,102604,1066.0,4473,18326
23807,Qinghai,China,68281,8140,219821,4342,20210119,289939,280634,1066.0,75472,73830
4340,Washington,US,296934,20140,234668,175607,20210119,289939,290740,1066.0,38495,17107
17405,Illinois,US,241004,11237,95831,191090,20210119,289939,314572,1066.0,49919,9692
43103,,Japan,379543,3413,227773,131288,20210119,289939,150506,1066.0,86453,75267
41077,,Thailand,136098,19425,184929,122464,20210119,289939,118098,1066.0,21821,37999
22387,,South Korea,41981,427,20726,223032,20210119,289939,295422,1066.0,66071,32302
35411,,Singapore,151290,14093,254979,173794,20210119,289939,296819,1066.0,25945,61203
25730,,Vietnam,211491,3214,47950,186262,20210119,289939,322313,1066.0,85914,33083
47796,,Australia,342049,31857,180529,70210,20210119,289939,121665,1066.0,64654,6600
32262,,Nepal,384258,37402,278401,52798,20210119,289939,272827,1066.0,54855,33218
39933,,Malaysia,383432,24381,84332,186535,20210119,289939,293256,1066.0,15157,1800
26808,Hubei,China,365433,23133,155159,100039,20210119,289939,107591,1066.0,19411,6662
16684,Guangdong,China,229875,18919,262908,97361,20210119,289939,346852,1066.0,74138,77445
24887,Zhejiang,China,19389,17270,78474,200278,20210119,289939,310646,1066.0,14522,39719
48053,He,China,180321,25672,241825,61607,20210119,289939,263303,1066.0,2192,31111
3044,Chongqing,China,305729,18589,254874,59626,20210119,289939,218083,1066.0,49560,18666
784,Hu,China,76648,36195,6370,165517,20210119,289939,167289,1066.0,18981,28621
32192,Beijing,China,158175,29494,103528,101439,20210119,289939,109826,1066.0,53248,16891
156,Anhui,China,293022,17940,57524,201308,20210119,289939,342948,1066.0,457,75794
13828,Shandong,China,212223,384,275453,15649,20210119,289939,234694,1066.0,11942,64461
31040,Sichuan,China,156346,13198,157842,201262,20210119,289939,204163,1066.0,50300,70669
22547,Shanghai,China,328374,14155,2138,146022,20210119,289939,219465,1066.0,18374,75422
38325,Guangxi,China,243978,33133,146588,38467,20210119,289939,99266,1066.0,20044,53017
20409,Jiangxi,China,294084,28720,171844,100941,20210119,289939,84005,1066.0,45910,50062
44688,Fujian,China,83528,20346,257177,117856,20210119,289939,136426,1066.0,85942,6118
6916,Jiangsu,China,268855,947,8994,25764,20210119,289939,260034,1066.0,18658,68905
13779,Hai,China,354560,9641,187775,38438,20210119,289939,292701,1066.0,88861,38726
47239,Shaanxi,China,30893,13449,220691,181497,20210119,289939,289288,1066.0,43611,40262
7484,Liaoning,China,24782,7580,290510,87588,20210119,289939,326965,1066.0,45008,10350
21686,Yun,China,323271,30194,260831,21322,20210119,289939,182987,1066.0,13377,60389
33775,Heilongjiang,China,11701,34564,107847,64858,20210119,289939,246359,1066.0,58552,48499
30163,Tianjin,China,304138,27017,111592,164515,20210119,289939,214704,1066.0,81850,32393
31464,Hebei,China,337148,3197,156173,31648,20210119,289939,152542,1066.0,58375,76049
36857,Shanxi,China,265960,1895,78043,120148,20210119,289939,155013,1066.0,51453,29819
3812,Hong Kong,Hong Kong,320529,7394,128370,67377,20210119,289939,329689,1066.0,89751,13367
31111,Inner Mongolia,China,209295,28057,235673,118146,20210119,289939,240366,1066.0,62591,4855
38021,Gansu,China,41585,3728,28377,90554,20210119,289939,128725,1066.0,73616,40008
40244,Guizhou,China,373502,5999,169406,8059,20210119,289939,121410,1066.0,24899,4724
48176,Macau,Macau,151921,22170,222764,211058,20210119,289939,148639,1066.0,42100,24542
47367,Ningxia,China,69809,33919,229109,31212,20210119,289939,210561,1066.0,53268,58760
3189,Jilin,China,47681,10072,292031,126415,20210119,289939,200360,1066.0,29792,24335
37289,Taiwan,Taiwan,366046,28931,252990,119183,20210119,289939,99070,1066.0,41297,20741
26786,Xinjiang,China,327894,28288,169550,107802,20210119,289939,113152,1066.0,15058,12244
9164,Qinghai,China,316560,558,190344,24846,20210119,289939,167249,1066.0,26107,10990
12500,Washington,US,40787,34347,274357,131792,20210119,289939,312494,1066.0,81548,25393
10790,Illinois,US,13063,9635,52888,100259,20210119,289939,75138,1066.0,65940,34584
3148,California,US,355140,33807,83043,150351,20210119,289939,298162,1066.0,86891,49342
32931,Arizona,US,193965,17399,173879,41273,20210119,289939,108954,1066.0,25941,72429
26313,,Japan,155566,24234,21725,106236,20210119,289939,273426,1066.0,47709,70859
47129,,Thailand,309529,25908,254339,10829,20210119,289939,246189,1066.0,64199,22685
36246,,South Korea,364574,26070,228194,41863,20210119,289939,128693,1066.0,67000,26429
15439,,Singapore,22553,3636,246734,224474,20210119,289939,174744,1066.0,39908,42551
5673,,Vietnam,335718,10508,88257,133687,20210119,289939,168845,1066.0,32031,26501
204,,Australia,321771,11194,191304,216709,20210119,289939,263295,1066.0,48605,6893
44150,,Nepal,200198,2075,245473,109817,20210119,289939,262351,1066.0,18296,31286
7993,,Malaysia,286100,21271,255823,161439,20210119,289939,218844,1066.0,14798,68730
19687,Ontario,Canada,93156,1177,159335,43056,20210119,289939,233680,1066.0,63054,65668
23826,Hubei,China,155424,11797,34851,133389,20210119,289939,238654,1066.0,4103,58172
20556,Guangdong,China,105920,12847,25908,84678,20210119,289939,189424,1066.0,81372,33883
6429,Zhejiang,China,61903,25298,249178,161512,20210119,289939,130359,1066.0,87322,36187
46759,He,China,45563,36642,236475,218056,20210119,289939,111231,1066.0,64852,10848
22852,Chongqing,China,168183,23479,50368,100375,20210119,289939,288634,1066.0,1360,3601
26725,Hu,China,61306,16196,137450,4310,20210119,289939,236575,1066.0,22244,52530
26809,Beijing,China,53715,1790,54149,25773,20210119,289939,75441,1066.0,55549,73215
7547,Shandong,China,123314,12464,186933,119666,20210119,289939,73668,1066.0,17842,75547
35560,Jiangxi,China,44945,26115,59267,113372,20210119,289939,219749,1066.0,17214,46757
3534,Anhui,China,270225,15627,101618,11821,20210119,289939,279934,1066.0,48192,25576
43941,Sichuan,China,301771,31255,250165,229487,20210119,289939,246600,1066.0,8624,42677
41518,Fujian,China,147188,10615,17269,138085,20210119,289939,106049,1066.0,47955,25237
42865,Shanghai,China,356707,28086,181930,135473,20210119,289939,199455,1066.0,29946,14422
32396,Jiangsu,China,143075,7761,122500,203390,20210119,289939,91824,1066.0,41246,30378
32848,Guangxi,China,332297,34244,221240,48116,20210119,289939,214957,1066.0,20255,14638
15450,Shaanxi,China,24366,37055,109417,43206,20210119,289939,171873,1066.0,42231,70230
29677,Hai,China,249321,37650,149525,98360,20210119,289939,328288,1066.0,530,17530
25133,Liaoning,China,84577,19903,259303,127107,20210119,289939,320349,1066.0,81452,8452
37971,Yun,China,387466,28329,156814,44650,20210119,289939,330176,1066.0,27616,65846
711,Tianjin,China,344760,8145,265116,77503,20210119,289939,94653,1066.0,29580,33114
13192,Heilongjiang,China,268815,8645,62801,76585,20210119,289939,256978,1066.0,50068,48841
7787,Hebei,China,186186,16729,281779,222303,20210119,289939,131676,1066.0,44482,13876
18602,Gansu,China,14643,4970,40478,85779,20210119,289939,63197,1066.0,35691,45572
20808,Shanxi,China,142255,2834,164316,123727,20210119,289939,310639,1066.0,79209,9551
45787,Inner Mongolia,China,381741,24973,254004,53631,20210119,289939,108960,1066.0,87583,70203
45800,Hong Kong,Hong Kong,179518,35290,148507,41202,20210119,289939,90544,1066.0,46980,71230
39411,Guizhou,China,196465,16579,46249,90812,20210119,289939,256842,1066.0,35822,13200
18684,Ningxia,China,334673,19040,239081,140165,20210119,289939,129498,1066.0,12388,4452
34716,Jilin,China,101512,10734,158016,216693,20210119,289939,200426,1066.0,357,29264
34548,Macau,Macau,175142,33559,109923,122709,20210119,289939,347917,1066.0,60428,5540
41138,Qinghai,China,106877,16453,67683,184016,20210119,289939,253306,1066.0,27868,67062
10736,Taiwan,Taiwan,2645,14663,282100,146514,20210119,289939,124385,1066.0,68242,42644
34414,Xinjiang,China,66490,32126,164472,56305,20210119,289939,87550,1066.0,13734,36337
32426,Washington,US,236905,30947,139808,11465,20210119,289939,321182,1066.0,38512,15290
13366,Illinois,US,370613,28136,63629,38193,20210119,289939,260290,1066.0,33266,70604
5209,California,US,339287,5614,39390,198949,20210119,289939,213390,1066.0,45395,74503
24648,Arizona,US,92495,30859,255961,69814,20210119,289939,80465,1066.0,70631,56722
6078,,Japan,75318,12512,284944,120506,20210119,289939,149051,1066.0,50905,77712
32916,,Thailand,88704,14147,243512,215983,20210119,289939,143097,1066.0,14793,41514
18578,,South Korea,105211,27788,25410,148535,20210119,289939,176233,1066.0,56538,54097
6681,,Singapore,221518,30403,77619,31092,20210119,289939,217885,1066.0,72811,22078
42055,,Vietnam,290031,12101,71251,72796,20210119,289939,195598,1066.0,71628,9009
36445,,Nepal,283837,3519,22721,112593,20210119,289939,136099,1066.0,9088,23021
43311,,Malaysia,252170,6253,277421,106125,20210119,289939,226226,1066.0,48137,29968
38753,Ontario,Canada,364908,22683,73980,146479,20210119,289939,221925,1066.0,79190,13137
31666,,Cambodia,370316,2884,282726,98882,20210119,289939,244106,1066.0,29661,38397
150,,Sri Lanka,286808,14477,202276,179450,20210119,289939,283222,1066.0,8799,32517
35235,,Ivory Coast,383721,10346,204623,126256,20210119,289939,120894,1066.0,76320,18542
8229,New South Wales,Australia,212120,4964,273756,154961,20210119,289939,170501,1066.0,8505,53775
25174,Victoria,Australia,293724,1144,75982,52173,20210119,289939,189104,1066.0,53428,57275
2115,Hubei,China,79723,7709,232906,49045,20210119,289939,292266,1066.0,32198,60596
18712,Guangdong,China,1983,16331,217394,102323,20210119,289939,154455,1066.0,45395,25245
8258,Zhejiang,China,240555,28232,103605,227059,20210119,289939,304084,1066.0,84986,41576
35868,He,China,103063,37798,20315,157185,20210119,289939,246725,1066.0,73753,28841
11222,Hu,China,336411,34999,62382,153798,20210119,289939,347749,1066.0,28727,64211
8465,Chongqing,China,371195,13808,224110,214483,20210119,289939,290673,1066.0,69925,13122
45992,Jiangxi,China,2854,34129,18466,104598,20210119,289939,127803,1066.0,16597,68198
33832,Anhui,China,79426,18506,232782,137588,20210119,289939,187175,1066.0,33199,56359
14024,Shandong,China,2619,14172,13049,69842,20210119,289939,135402,1066.0,79463,32202
30030,Beijing,China,74859,28282,38093,211498,20210119,289939,334160,1066.0,67968,51630
47138,Sichuan,China,331103,4572,134656,27869,20210119,289939,261335,1066.0,55971,61019
41330,Fujian,China,87498,2813,279452,90186,20210119,289939,319623,1066.0,17102,63078
41663,Jiangsu,China,304430,17180,226982,100568,20210119,289939,231986,1066.0,23998,14401
36054,Shanghai,China,203875,26231,177381,139290,20210119,289939,203003,1066.0,8827,39599
24592,Guangxi,China,291545,6706,55718,212892,20210119,289939,98857,1066.0,35746,42691
11261,Shaanxi,China,282430,32906,140849,18585,20210119,289939,89074,1066.0,13012,57079
17730,Yun,China,113319,14566,211038,51447,20210119,289939,85017,1066.0,34454,67417
21757,Hai,China,289912,13512,277571,145873,20210119,289939,118661,1066.0,32445,60374
10270,Liaoning,China,67646,11892,148946,200783,20210119,289939,122775,1066.0,4677,40737
2040,Hebei,China,209822,8367,6629,180327,20210119,289939,347391,1066.0,23045,41168
19947,Heilongjiang,China,219813,34538,178964,27268,20210119,289939,139068,1066.0,34030,78845
48308,Shanxi,China,90045,24690,82695,182628,20210119,289939,317181,1066.0,1183,72320
49973,Tianjin,China,1546,35003,270263,33341,20210119,289939,129008,1066.0,50840,79249
48573,Gansu,China,370163,34392,289054,129858,20210119,289939,187677,1066.0,60462,77806
27621,Inner Mongolia,China,350683,31033,185498,52629,20210119,289939,214235,1066.0,42012,47669
10342,Ningxia,China,239219,7577,204545,37137,20210119,289939,120159,1066.0,28150,1793
26138,Xinjiang,China,198170,33193,163112,40417,20210119,289939,255349,1066.0,15683,79600
31449,Guizhou,China,39860,26937,17023,190047,20210119,289939,241527,1066.0,32822,27722
2756,Jilin,China,130833,24370,6085,67040,20210119,289939,198252,1066.0,35830,45190
573,Taiwan,Taiwan,251106,15573,128102,178777,20210119,289939,226199,1066.0,79935,70318
35998,Hong Kong,Hong Kong,338710,6031,143478,221638,20210119,289939,308350,1066.0,86942,16709
12952,Macau,Macau,361716,970,186654,179123,20210119,289939,169248,1066.0,51285,26627
35193,Qinghai,China,138200,24074,241049,219392,20210119,289939,181203,1066.0,88371,52404
43105,Washington,US,189007,5560,35710,103887,20210119,289939,344289,1066.0,4300,41092
17661,Illinois,US,259519,14672,207088,151446,20210119,289939,241040,1066.0,14069,26358
33621,California,US,89015,2019,227525,190602,20210119,289939,115973,1066.0,68445,44971
26610,Arizona,US,130687,8504,272767,74891,20210119,289939,84563,1066.0,63574,26906
48846,,Japan,98906,5185,223316,130377,20210119,289939,270064,1066.0,52462,34884
388,,Thailand,236602,28296,19869,32683,20210119,289939,124788,1066.0,27967,73796
199,,South Korea,213702,29676,62137,63271,20210119,289939,277879,1066.0,60788,4198
8717,,Singapore,176487,29389,97108,206736,20210119,289939,147529,1066.0,6756,10541
25456,,Vietnam,380423,13037,278262,35947,20210119,289939,248497,1066.0,89095,25846
28303,,Nepal,88371,17414,23703,85733,20210119,289939,158706,1066.0,14246,16829
10309,,Malaysia,207627,36474,270084,107140,20210119,289939,82740,1066.0,62837,39746
4667,Ontario,Canada,108358,12205,66329,92995,20210119,289939,231226,1066.0,37628,67961
2443,British Columbia,Canada,228002,9610,101845,186864,20210119,289939,130070,1066.0,3053,55362
16131,,Cambodia,84010,37725,273873,6636,20210119,289939,126117,1066.0,44199,64909
17988,,Sri Lanka,157682,9458,120989,225042,20210119,289939,308542,1066.0,83652,15140
9091,New South Wales,Australia,311692,28093,289980,207434,20210119,289939,212992,1066.0,74561,15436
32112,Victoria,Australia,363050,5594,178344,94105,20210119,289939,74719,1066.0,75576,73846
48899,Bavaria,Germany,276747,19800,274190,46754,20210119,289939,102155,1066.0,40830,4393
25157,Hubei,China,277767,14540,201324,110456,20210119,289939,108335,1066.0,74041,12419
22734,Zhejiang,China,76454,34450,179230,213293,20210119,289939,333548,1066.0,72223,1983
18858,Guangdong,China,202716,4562,17369,187782,20210119,289939,322064,1066.0,42786,18212
25847,Hu,China,364978,16688,12342,223997,20210119,289939,193074,1066.0,24406,52098
